id,newsgroup
147,talk.politics.misc
148,rec.sport.baseball
149,comp.os.ms-windows.misc
150,comp.sys.ibm.pc.hardware
151,talk.politics.guns
152,comp.os.ms-windows.misc
153,rec.motorcycles
154,comp.os.ms-windows.misc
155,comp.sys.mac.hardware
156,alt.atheism
157,sci.electronics
158,comp.sys.ibm.pc.hardware
159,rec.sport.hockey
160,talk.religion.misc
161,sci.med
162,rec.sport.baseball
163,sci.electronics
164,rec.autos
165,rec.sport.hockey
166,comp.windows.x
167,talk.politics.misc
168,talk.politics.mideast
169,comp.sys.ibm.pc.hardware
170,sci.electronics
171,rec.sport.hockey
172,alt.atheism
173,comp.sys.mac.hardware
174,talk.politics.guns
175,rec.autos
176,sci.crypt
177,rec.motorcycles
178,talk.politics.misc
179,sci.med
180,sci.electronics
181,rec.motorcycles
182,comp.sys.mac.hardware
183,comp.graphics
184,rec.motorcycles
185,rec.sport.baseball
186,rec.sport.baseball
187,misc.forsale
188,sci.space
189,comp.os.ms-windows.misc
190,talk.politics.guns
191,comp.sys.mac.hardware
192,rec.sport.hockey
193,sci.med
194,comp.graphics
195,comp.os.ms-windows.misc
196,talk.politics.guns
197,alt.atheism
198,talk.politics.guns
199,misc.forsale
200,talk.politics.misc
201,comp.os.ms-windows.misc
202,rec.sport.baseball
203,rec.autos
204,rec.sport.baseball
205,rec.sport.hockey
206,rec.motorcycles
207,talk.politics.misc
208,sci.crypt
209,sci.space
210,comp.windows.x
211,talk.politics.guns
212,talk.politics.mideast
213,sci.crypt
214,sci.med
215,rec.sport.hockey
216,rec.sport.hockey
217,talk.politics.guns
218,misc.forsale
219,comp.graphics
220,misc.forsale
221,misc.forsale
222,sci.space
223,sci.crypt
224,comp.sys.mac.hardware
225,talk.politics.mideast
226,talk.politics.guns
227,alt.atheism
228,comp.sys.mac.hardware
229,sci.med
230,rec.sport.baseball
231,talk.politics.mideast
232,comp.graphics
233,misc.forsale
234,talk.politics.mideast
235,sci.med
236,misc.forsale
237,comp.windows.x
238,comp.graphics
239,sci.crypt
240,rec.sport.hockey
241,comp.os.ms-windows.misc
242,sci.crypt
243,comp.os.ms-windows.misc
244,rec.autos
245,talk.politics.guns
246,comp.os.ms-windows.misc
247,soc.religion.christian
248,soc.religion.christian
249,rec.autos
250,rec.motorcycles
251,sci.electronics
252,comp.os.ms-windows.misc
253,talk.politics.guns
254,sci.electronics
255,comp.graphics
256,rec.sport.hockey
257,rec.autos
258,rec.autos
259,talk.religion.misc
260,comp.sys.ibm.pc.hardware
261,rec.autos
262,sci.crypt
263,soc.religion.christian
264,sci.med
265,talk.politics.mideast
266,comp.windows.x
267,sci.med
268,talk.politics.guns
269,sci.electronics
270,comp.sys.ibm.pc.hardware
271,rec.autos
272,sci.space
273,soc.religion.christian
274,alt.atheism
275,comp.graphics
276,sci.electronics
277,soc.religion.christian
278,talk.politics.misc
279,rec.sport.hockey
280,comp.windows.x
281,comp.graphics
282,comp.windows.x
283,rec.sport.hockey
284,comp.os.ms-windows.misc
285,sci.crypt
286,soc.religion.christian
287,misc.forsale
288,sci.electronics
289,rec.sport.baseball
290,comp.sys.mac.hardware
291,comp.windows.x
292,rec.autos
293,rec.motorcycles
294,misc.forsale
295,sci.med
296,comp.os.ms-windows.misc
297,talk.religion.misc
298,rec.motorcycles
299,comp.graphics
300,comp.sys.ibm.pc.hardware
301,sci.med
302,rec.sport.baseball
303,sci.electronics
304,sci.crypt
305,soc.religion.christian
306,rec.sport.baseball
307,comp.os.ms-windows.misc
308,talk.politics.guns
309,soc.religion.christian
310,misc.forsale
311,soc.religion.christian
312,talk.politics.misc
313,comp.graphics
314,talk.politics.guns
315,rec.motorcycles
316,talk.religion.misc
317,talk.religion.misc
318,misc.forsale
319,comp.os.ms-windows.misc
320,comp.os.ms-windows.misc
321,rec.motorcycles
322,rec.sport.baseball
323,rec.autos
324,rec.autos
325,rec.sport.hockey
326,sci.electronics
327,rec.sport.hockey
328,alt.atheism
329,comp.os.ms-windows.misc
330,comp.graphics
331,talk.politics.guns
332,misc.forsale
333,rec.sport.baseball
334,rec.motorcycles
335,sci.med
336,soc.religion.christian
337,misc.forsale
338,sci.crypt
339,misc.forsale
340,rec.motorcycles
341,sci.crypt
342,sci.electronics
343,rec.motorcycles
344,talk.religion.misc
345,rec.motorcycles
346,comp.sys.mac.hardware
347,talk.politics.mideast
348,sci.crypt
349,misc.forsale
350,talk.politics.mideast
351,rec.motorcycles
352,rec.sport.hockey
353,comp.os.ms-windows.misc
354,comp.os.ms-windows.misc
355,talk.politics.misc
356,comp.os.ms-windows.misc
357,comp.os.ms-windows.misc
358,sci.crypt
359,sci.electronics
360,comp.sys.mac.hardware
361,talk.politics.mideast
362,rec.sport.hockey
363,comp.sys.ibm.pc.hardware
364,comp.sys.mac.hardware
365,rec.autos
366,comp.sys.mac.hardware
367,misc.forsale
368,comp.sys.ibm.pc.hardware
369,talk.religion.misc
370,sci.med
371,rec.autos
372,misc.forsale
373,talk.religion.misc
374,sci.electronics
375,talk.politics.guns
376,talk.religion.misc
377,misc.forsale
378,rec.autos
379,talk.politics.misc
380,talk.politics.misc
381,talk.politics.misc
382,talk.politics.mideast
383,talk.religion.misc
384,misc.forsale
385,alt.atheism
386,misc.forsale
387,comp.sys.mac.hardware
388,rec.sport.baseball
389,rec.sport.baseball
390,sci.crypt
391,soc.religion.christian
392,soc.religion.christian
393,soc.religion.christian
394,talk.religion.misc
395,sci.med
396,sci.space
397,soc.religion.christian
398,comp.sys.mac.hardware
399,rec.sport.baseball
400,alt.atheism
401,comp.os.ms-windows.misc
402,sci.electronics
403,comp.sys.mac.hardware
404,soc.religion.christian
405,sci.electronics
406,comp.sys.ibm.pc.hardware
407,sci.crypt
408,talk.religion.misc
409,talk.politics.misc
410,sci.electronics
411,talk.politics.guns
412,sci.med
413,sci.electronics
414,comp.windows.x
415,comp.sys.ibm.pc.hardware
416,comp.sys.mac.hardware
417,comp.graphics
418,talk.politics.mideast
419,alt.atheism
420,comp.os.ms-windows.misc
421,talk.politics.guns
422,rec.motorcycles
423,comp.sys.ibm.pc.hardware
424,comp.windows.x
425,sci.med
426,comp.sys.ibm.pc.hardware
427,sci.crypt
428,talk.politics.mideast
429,talk.religion.misc
430,talk.politics.misc
431,rec.sport.hockey
432,talk.politics.misc
433,alt.atheism
434,comp.os.ms-windows.misc
435,comp.sys.mac.hardware
436,misc.forsale
437,comp.os.ms-windows.misc
438,comp.sys.mac.hardware
439,comp.os.ms-windows.misc
440,soc.religion.christian
441,sci.space
442,rec.motorcycles
443,rec.motorcycles
444,talk.politics.misc
445,misc.forsale
446,sci.electronics
447,alt.atheism
448,sci.crypt
449,sci.electronics
450,comp.os.ms-windows.misc
451,talk.politics.misc
452,comp.sys.ibm.pc.hardware
453,rec.sport.baseball
454,sci.crypt
455,comp.sys.ibm.pc.hardware
456,talk.politics.misc
457,talk.religion.misc
458,rec.sport.hockey
459,sci.space
460,comp.graphics
461,talk.politics.mideast
462,talk.politics.misc
463,comp.graphics
464,comp.os.ms-windows.misc
465,talk.religion.misc
466,comp.graphics
467,misc.forsale
468,comp.windows.x
469,sci.space
470,rec.motorcycles
471,sci.electronics
472,rec.autos
473,alt.atheism
474,talk.politics.misc
475,soc.religion.christian
476,rec.sport.hockey
477,comp.windows.x
478,sci.crypt
479,sci.electronics
480,rec.sport.baseball
481,rec.motorcycles
482,talk.politics.misc
483,rec.sport.hockey
484,rec.motorcycles
485,comp.windows.x
486,rec.autos
487,misc.forsale
488,comp.windows.x
489,comp.sys.ibm.pc.hardware
490,comp.sys.mac.hardware
491,talk.politics.misc
492,comp.graphics
493,misc.forsale
494,sci.space
495,sci.electronics
496,comp.windows.x
497,misc.forsale
498,rec.sport.hockey
499,comp.sys.mac.hardware
500,comp.graphics
501,talk.politics.mideast
502,comp.sys.ibm.pc.hardware
503,alt.atheism
504,alt.atheism
505,sci.space
506,soc.religion.christian
507,soc.religion.christian
508,rec.sport.baseball
509,talk.politics.mideast
510,soc.religion.christian
511,comp.graphics
512,sci.electronics
513,alt.atheism
514,rec.autos
515,comp.sys.mac.hardware
516,rec.sport.hockey
517,rec.sport.hockey
518,rec.sport.baseball
519,comp.graphics
520,rec.sport.baseball
521,rec.autos
522,sci.med
523,comp.os.ms-windows.misc
524,misc.forsale
525,talk.religion.misc
526,comp.sys.mac.hardware
527,alt.atheism
528,comp.sys.mac.hardware
529,talk.politics.mideast
530,alt.atheism
531,talk.politics.guns
532,comp.graphics
533,rec.motorcycles
534,comp.sys.ibm.pc.hardware
535,comp.graphics
536,sci.med
537,rec.motorcycles
538,alt.atheism
539,rec.motorcycles
540,comp.graphics
541,soc.religion.christian
542,comp.graphics
543,rec.sport.hockey
544,comp.graphics
545,sci.space
546,comp.graphics
547,sci.space
548,rec.sport.hockey
549,rec.sport.baseball
550,comp.graphics
551,rec.sport.hockey
552,misc.forsale
553,rec.motorcycles
554,talk.politics.mideast
555,rec.autos
556,comp.windows.x
557,rec.autos
558,rec.motorcycles
559,sci.crypt
560,rec.sport.baseball
561,talk.politics.guns
562,comp.sys.ibm.pc.hardware
563,sci.crypt
564,rec.autos
565,rec.motorcycles
566,rec.motorcycles
567,sci.med
568,soc.religion.christian
569,rec.autos
570,talk.religion.misc
571,misc.forsale
572,comp.sys.mac.hardware
573,talk.politics.guns
574,sci.space
575,sci.med
576,alt.atheism
577,sci.electronics
578,misc.forsale
579,sci.crypt
580,comp.windows.x
581,rec.sport.hockey
582,sci.med
583,talk.politics.guns
584,soc.religion.christian
585,alt.atheism
586,rec.motorcycles
587,sci.electronics
588,sci.space
589,sci.med
590,misc.forsale
591,sci.electronics
592,rec.sport.baseball
593,comp.windows.x
594,sci.space
595,talk.politics.misc
596,rec.sport.hockey
597,sci.electronics
598,comp.graphics
599,comp.sys.mac.hardware
600,sci.electronics
601,talk.politics.mideast
602,comp.windows.x
603,comp.windows.x
604,talk.politics.misc
605,sci.space
606,sci.electronics
607,comp.os.ms-windows.misc
608,comp.sys.mac.hardware
609,rec.sport.baseball
610,rec.autos
611,rec.sport.baseball
612,comp.sys.ibm.pc.hardware
613,rec.autos
614,rec.sport.baseball
615,comp.sys.ibm.pc.hardware
616,rec.sport.baseball
617,rec.motorcycles
618,rec.autos
619,talk.politics.misc
620,rec.sport.hockey
621,comp.windows.x
622,talk.politics.guns
623,rec.autos
624,talk.politics.misc
625,talk.religion.misc
626,comp.sys.mac.hardware
627,sci.space
628,sci.electronics
629,rec.sport.hockey
630,comp.windows.x
631,rec.sport.hockey
632,comp.sys.mac.hardware
633,talk.politics.guns
634,rec.sport.baseball
635,alt.atheism
636,talk.politics.guns
637,comp.sys.ibm.pc.hardware
638,sci.space
639,talk.politics.misc
640,misc.forsale
641,comp.windows.x
642,rec.autos
643,rec.autos
644,rec.autos
645,comp.windows.x
646,talk.politics.misc
647,rec.sport.baseball
648,rec.motorcycles
649,talk.religion.misc
650,misc.forsale
651,rec.sport.baseball
652,talk.politics.mideast
653,rec.sport.baseball
654,comp.graphics
655,talk.politics.mideast
656,comp.os.ms-windows.misc
657,comp.sys.mac.hardware
658,soc.religion.christian
659,talk.politics.misc
660,talk.politics.guns
661,sci.electronics
662,talk.politics.guns
663,talk.politics.misc
664,sci.space
665,comp.os.ms-windows.misc
666,comp.os.ms-windows.misc
667,misc.forsale
668,misc.forsale
669,misc.forsale
670,comp.os.ms-windows.misc
671,rec.motorcycles
672,comp.sys.mac.hardware
673,rec.sport.hockey
674,talk.politics.mideast
675,sci.electronics
676,sci.crypt
677,sci.med
678,alt.atheism
679,misc.forsale
680,talk.politics.misc
681,comp.os.ms-windows.misc
682,comp.windows.x
683,rec.sport.baseball
684,rec.sport.hockey
685,soc.religion.christian
686,rec.motorcycles
687,talk.politics.guns
688,talk.religion.misc
689,comp.windows.x
690,sci.space
691,soc.religion.christian
692,comp.os.ms-windows.misc
693,alt.atheism
694,rec.motorcycles
695,sci.electronics
696,comp.windows.x
697,talk.religion.misc
698,talk.politics.mideast
699,talk.politics.guns
700,rec.motorcycles
701,soc.religion.christian
702,comp.sys.mac.hardware
703,comp.sys.mac.hardware
704,sci.crypt
705,misc.forsale
706,misc.forsale
707,talk.politics.misc
708,rec.sport.hockey
709,comp.os.ms-windows.misc
710,comp.sys.ibm.pc.hardware
711,talk.politics.guns
712,sci.space
713,rec.motorcycles
714,sci.med
715,talk.politics.guns
716,talk.religion.misc
717,rec.sport.baseball
718,comp.windows.x
719,soc.religion.christian
720,talk.politics.misc
721,rec.autos
722,comp.graphics
723,talk.politics.misc
724,sci.space
725,rec.sport.baseball
726,talk.politics.guns
727,comp.os.ms-windows.misc
728,comp.windows.x
729,rec.autos
730,sci.space
731,talk.politics.guns
732,sci.electronics
733,rec.motorcycles
734,alt.atheism
735,soc.religion.christian
736,talk.politics.mideast
737,sci.space
738,soc.religion.christian
739,rec.sport.baseball
740,soc.religion.christian
741,talk.politics.guns
742,alt.atheism
743,misc.forsale
744,rec.sport.hockey
745,talk.politics.guns
746,rec.autos
747,misc.forsale
748,rec.sport.baseball
749,misc.forsale
750,rec.autos
751,soc.religion.christian
752,rec.sport.hockey
753,talk.politics.mideast
754,rec.sport.baseball
755,rec.sport.baseball
756,sci.crypt
757,sci.electronics
758,rec.autos
759,comp.windows.x
760,talk.politics.mideast
761,sci.crypt
762,rec.sport.baseball
763,rec.autos
764,talk.politics.mideast
765,sci.med
766,comp.sys.ibm.pc.hardware
767,sci.space
768,comp.sys.ibm.pc.hardware
769,comp.graphics
770,sci.space
771,comp.windows.x
772,rec.motorcycles
773,talk.religion.misc
774,sci.med
775,rec.sport.baseball
776,rec.autos
777,misc.forsale
778,sci.crypt
779,comp.os.ms-windows.misc
780,alt.atheism
781,rec.sport.hockey
782,rec.motorcycles
783,rec.autos
784,rec.motorcycles
785,rec.motorcycles
786,talk.politics.mideast
787,soc.religion.christian
788,soc.religion.christian
789,rec.sport.hockey
790,sci.electronics
791,rec.autos
792,soc.religion.christian
793,sci.electronics
794,sci.electronics
795,rec.autos
796,comp.sys.ibm.pc.hardware
797,sci.electronics
798,sci.med
799,rec.motorcycles
800,rec.autos
801,rec.sport.hockey
802,comp.sys.ibm.pc.hardware
803,sci.med
804,comp.sys.ibm.pc.hardware
805,sci.med
806,sci.med
807,misc.forsale
808,rec.sport.baseball
809,sci.space
810,sci.med
811,talk.politics.guns
812,alt.atheism
813,comp.sys.mac.hardware
814,talk.politics.guns
815,misc.forsale
816,talk.politics.misc
817,misc.forsale
818,rec.motorcycles
819,alt.atheism
820,comp.windows.x
821,comp.sys.mac.hardware
822,comp.graphics
823,comp.sys.ibm.pc.hardware
824,sci.med
825,talk.politics.guns
826,comp.sys.ibm.pc.hardware
827,comp.sys.mac.hardware
828,rec.autos
829,talk.politics.guns
830,alt.atheism
831,sci.crypt
832,talk.politics.misc
833,talk.politics.mideast
834,sci.med
835,rec.sport.baseball
836,sci.space
837,rec.autos
838,sci.med
839,comp.windows.x
840,alt.atheism
841,comp.sys.ibm.pc.hardware
842,comp.windows.x
843,sci.space
844,comp.graphics
845,comp.graphics
846,alt.atheism
847,talk.politics.misc
848,soc.religion.christian
849,misc.forsale
850,comp.sys.ibm.pc.hardware
851,rec.motorcycles
852,comp.sys.mac.hardware
853,talk.politics.misc
854,rec.sport.hockey
855,sci.med
856,sci.crypt
857,comp.windows.x
858,sci.crypt
859,talk.politics.mideast
860,comp.windows.x
861,sci.med
862,comp.sys.mac.hardware
863,sci.crypt
864,rec.sport.baseball
865,comp.sys.ibm.pc.hardware
866,rec.motorcycles
867,talk.politics.mideast
868,comp.sys.mac.hardware
869,comp.windows.x
870,talk.politics.guns
871,talk.politics.misc
872,sci.space
873,rec.motorcycles
874,talk.politics.guns
875,comp.graphics
876,comp.windows.x
877,talk.politics.mideast
878,comp.sys.ibm.pc.hardware
879,comp.os.ms-windows.misc
880,rec.motorcycles
881,sci.electronics
882,sci.med
883,sci.crypt
884,talk.politics.guns
885,sci.electronics
886,sci.crypt
887,comp.os.ms-windows.misc
888,talk.religion.misc
889,rec.sport.baseball
890,talk.politics.guns
891,comp.windows.x
892,soc.religion.christian
893,alt.atheism
894,rec.autos
895,sci.electronics
896,talk.politics.guns
897,talk.politics.guns
898,comp.windows.x
899,rec.autos
900,talk.religion.misc
901,rec.sport.baseball
902,sci.med
903,rec.motorcycles
904,talk.religion.misc
905,talk.religion.misc
906,talk.politics.misc
907,talk.politics.mideast
908,misc.forsale
909,talk.politics.mideast
910,sci.med
911,talk.religion.misc
912,sci.med
913,rec.autos
914,rec.motorcycles
915,sci.med
916,comp.windows.x
917,talk.politics.misc
918,talk.politics.mideast
919,comp.windows.x
920,sci.crypt
921,sci.space
922,comp.sys.mac.hardware
923,comp.sys.ibm.pc.hardware
924,comp.sys.mac.hardware
925,soc.religion.christian
926,sci.med
927,sci.crypt
928,talk.religion.misc
929,comp.sys.ibm.pc.hardware
930,comp.graphics
931,rec.autos
932,misc.forsale
933,rec.sport.baseball
934,rec.motorcycles
935,misc.forsale
936,rec.sport.hockey
937,comp.windows.x
938,misc.forsale
939,talk.politics.misc
940,talk.religion.misc
941,rec.sport.baseball
942,rec.sport.baseball
943,rec.motorcycles
944,soc.religion.christian
945,sci.space
946,sci.electronics
947,comp.sys.ibm.pc.hardware
948,comp.sys.ibm.pc.hardware
949,sci.crypt
950,soc.religion.christian
951,talk.politics.misc
952,talk.religion.misc
953,sci.med
954,comp.windows.x
955,rec.autos
956,talk.politics.misc
957,comp.sys.ibm.pc.hardware
958,talk.politics.guns
959,sci.crypt
960,rec.autos
961,sci.crypt
962,comp.windows.x
963,sci.med
964,rec.sport.hockey
965,sci.med
966,comp.sys.ibm.pc.hardware
967,rec.sport.hockey
968,sci.electronics
969,talk.politics.guns
970,talk.politics.misc
971,sci.electronics
972,comp.os.ms-windows.misc
973,sci.med
974,comp.graphics
975,comp.sys.ibm.pc.hardware
976,comp.sys.ibm.pc.hardware
977,comp.sys.mac.hardware
978,soc.religion.christian
979,soc.religion.christian
980,talk.religion.misc
981,rec.sport.baseball
982,sci.med
983,rec.autos
984,alt.atheism
985,comp.windows.x
986,rec.sport.hockey
987,sci.electronics
988,sci.space
989,rec.autos
990,rec.autos
991,rec.motorcycles
992,rec.autos
993,comp.os.ms-windows.misc
994,comp.windows.x
995,misc.forsale
996,talk.politics.mideast
997,rec.sport.baseball
998,talk.politics.mideast
999,rec.sport.baseball
1000,sci.crypt
1001,sci.electronics
1002,rec.sport.baseball
1003,rec.sport.baseball
1004,comp.sys.mac.hardware
1005,sci.crypt
1006,talk.politics.misc
1007,talk.politics.guns
1008,sci.crypt
1009,rec.autos
1010,comp.sys.mac.hardware
1011,comp.os.ms-windows.misc
1012,sci.crypt
1013,misc.forsale
1014,soc.religion.christian
1015,comp.windows.x
1016,rec.autos
1017,talk.politics.misc
1018,sci.electronics
1019,comp.sys.ibm.pc.hardware
1020,sci.space
1021,misc.forsale
1022,soc.religion.christian
1023,sci.electronics
1024,misc.forsale
1025,sci.electronics
1026,rec.sport.baseball
1027,rec.motorcycles
1028,misc.forsale
1029,misc.forsale
1030,comp.sys.mac.hardware
1031,talk.politics.mideast
1032,sci.electronics
1033,talk.politics.guns
1034,rec.autos
1035,comp.os.ms-windows.misc
1036,comp.os.ms-windows.misc
1037,rec.sport.hockey
1038,alt.atheism
1039,talk.politics.guns
1040,comp.graphics
1041,sci.crypt
1042,sci.space
1043,comp.sys.ibm.pc.hardware
1044,talk.politics.mideast
1045,misc.forsale
1046,misc.forsale
1047,sci.electronics
1048,talk.politics.guns
1049,comp.windows.x
1050,talk.religion.misc
1051,sci.crypt
1052,talk.religion.misc
1053,comp.os.ms-windows.misc
1054,talk.politics.misc
1055,talk.politics.misc
1056,sci.electronics
1057,talk.politics.mideast
1058,soc.religion.christian
1059,rec.sport.baseball
1060,comp.graphics
1061,comp.graphics
1062,soc.religion.christian
1063,rec.motorcycles
1064,rec.autos
1065,talk.politics.mideast
1066,talk.politics.mideast
1067,rec.autos
1068,comp.os.ms-windows.misc
1069,comp.graphics
1070,misc.forsale
1071,talk.politics.mideast
1072,talk.politics.guns
1073,talk.religion.misc
1074,talk.religion.misc
1075,misc.forsale
1076,sci.electronics
1077,sci.med
1078,rec.motorcycles
1079,rec.sport.baseball
1080,sci.crypt
1081,rec.autos
1082,sci.space
1083,rec.motorcycles
1084,comp.sys.mac.hardware
1085,alt.atheism
1086,rec.autos
1087,rec.sport.hockey
1088,comp.sys.ibm.pc.hardware
1089,sci.space
1090,alt.atheism
1091,talk.politics.guns
1092,comp.sys.ibm.pc.hardware
1093,talk.politics.mideast
1094,comp.graphics
1095,alt.atheism
1096,sci.crypt
1097,rec.autos
1098,rec.autos
1099,comp.sys.ibm.pc.hardware
1100,talk.politics.guns
1101,rec.sport.baseball
1102,rec.motorcycles
1103,talk.religion.misc
1104,talk.politics.guns
1105,alt.atheism
1106,alt.atheism
1107,comp.sys.mac.hardware
1108,soc.religion.christian
1109,comp.sys.ibm.pc.hardware
1110,rec.sport.baseball
1111,sci.space
1112,rec.autos
1113,talk.politics.misc
1114,sci.space
1115,sci.space
1116,rec.motorcycles
1117,talk.politics.misc
1118,misc.forsale
1119,rec.sport.hockey
1120,sci.med
1121,comp.os.ms-windows.misc
1122,rec.sport.baseball
1123,comp.os.ms-windows.misc
1124,sci.med
1125,alt.atheism
1126,rec.autos
1127,rec.sport.baseball
1128,rec.sport.hockey
1129,rec.autos
1130,misc.forsale
1131,comp.sys.ibm.pc.hardware
1132,alt.atheism
1133,comp.sys.mac.hardware
1134,talk.politics.misc
1135,soc.religion.christian
1136,rec.sport.hockey
1137,comp.sys.mac.hardware
1138,rec.sport.hockey
1139,sci.electronics
1140,talk.politics.guns
1141,talk.politics.guns
1142,rec.sport.hockey
1143,soc.religion.christian
1144,comp.os.ms-windows.misc
1145,talk.politics.guns
1146,sci.space
1147,rec.autos
1148,talk.politics.guns
1149,misc.forsale
1150,sci.crypt
1151,sci.electronics
1152,rec.sport.hockey
1153,talk.politics.guns
1154,misc.forsale
1155,comp.sys.mac.hardware
1156,alt.atheism
1157,sci.crypt
1158,talk.politics.guns
1159,rec.autos
1160,sci.electronics
1161,rec.sport.hockey
1162,comp.windows.x
1163,rec.autos
1164,misc.forsale
1165,sci.electronics
1166,comp.graphics
1167,rec.sport.baseball
1168,sci.electronics
1169,talk.politics.guns
1170,talk.religion.misc
1171,comp.sys.ibm.pc.hardware
1172,misc.forsale
1173,talk.religion.misc
1174,talk.politics.mideast
1175,sci.med
1176,rec.sport.baseball
1177,comp.sys.mac.hardware
1178,comp.sys.ibm.pc.hardware
1179,alt.atheism
1180,soc.religion.christian
1181,alt.atheism
1182,talk.religion.misc
1183,rec.autos
1184,sci.med
1185,comp.sys.mac.hardware
1186,sci.crypt
1187,comp.graphics
1188,talk.politics.guns
1189,talk.politics.mideast
1190,rec.sport.baseball
1191,sci.med
1192,talk.politics.misc
1193,talk.religion.misc
1194,misc.forsale
1195,talk.politics.mideast
1196,alt.atheism
1197,talk.politics.misc
1198,soc.religion.christian
1199,sci.space
1200,sci.space
1201,sci.space
1202,comp.os.ms-windows.misc
1203,comp.sys.ibm.pc.hardware
1204,rec.motorcycles
1205,talk.politics.misc
1206,sci.electronics
1207,rec.sport.hockey
1208,sci.crypt
1209,rec.autos
1210,soc.religion.christian
1211,comp.sys.mac.hardware
1212,misc.forsale
1213,rec.sport.baseball
1214,sci.space
1215,rec.sport.hockey
1216,sci.med
1217,sci.med
1218,rec.autos
1219,talk.politics.guns
1220,talk.politics.guns
1221,sci.electronics
1222,talk.religion.misc
1223,misc.forsale
1224,misc.forsale
1225,rec.sport.baseball
1226,comp.windows.x
1227,sci.electronics
1228,comp.sys.ibm.pc.hardware
1229,sci.electronics
1230,talk.religion.misc
1231,comp.sys.ibm.pc.hardware
1232,rec.sport.hockey
1233,talk.politics.mideast
1234,comp.sys.mac.hardware
1235,comp.sys.mac.hardware
1236,sci.electronics
1237,comp.windows.x
1238,sci.crypt
1239,talk.politics.misc
1240,sci.med
1241,sci.electronics
1242,rec.autos
1243,rec.autos
1244,comp.sys.mac.hardware
1245,talk.politics.mideast
1246,talk.politics.misc
1247,comp.sys.ibm.pc.hardware
1248,comp.windows.x
1249,rec.autos
1250,sci.crypt
1251,alt.atheism
1252,talk.politics.mideast
1253,comp.graphics
1254,sci.crypt
1255,rec.autos
1256,alt.atheism
1257,soc.religion.christian
1258,rec.motorcycles
1259,alt.atheism
1260,rec.sport.baseball
